Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall
18589.0,0,0,89,2,2,1,3,7,0,0,51,0,0,1,0,0,0,0,1,0,0,62,49,0
53359.0,1,1,4,4,5,1,4,7,0,0,44,0,1,0,0,0,0,0,1,0,0,216,175,0
38360.0,1,0,26,2,2,1,4,3,0,0,31,0,1,0,0,0,0,0,1,0,0,121,111,0
84618.0,0,0,96,1,6,9,10,2,0,0,55,0,1,0,0,0,0,0,0,0,1,1672,1672,1
10979.0,0,0,34,2,3,0,3,5,0,0,31,1,0,0,0,0,0,0,0,1,0,26,22,0
38620.0,0,0,56,1,2,5,3,3,0,0,57,0,0,0,1,0,0,0,0,1,0,229,140,0
40548.0,0,1,31,2,2,1,4,5,0,0,50,0,0,0,1,0,0,0,1,0,0,117,114,1
46610.0,0,2,8,6,4,1,6,6,0,1,68,1,0,0,0,0,0,0,0,0,1,259,216,0
68657.0,0,0,4,1,3,5,9,7,0,0,74,0,1,0,0,0,0,0,0,1,0,1174,1152,0
49389.0,1,1,55,1,2,0,3,7,0,0,69,0,0,1,0,0,0,0,0,1,0,62,59,0
67353.0,0,1,37,5,5,6,12,2,0,0,50,0,1,0,0,0,0,0,0,0,1,878,843,0
23718.0,1,0,76,3,3,1,2,7,0,0,44,0,1,0,0,0,1,0,0,0,0,45,9,0
42429.0,0,1,99,2,1,1,3,5,0,0,47,0,0,0,0,1,0,0,1,0,0,63,59,0
48948.0,0,0,53,2,7,10,5,6,0,1,77,1,0,0,0,0,0,0,0,0,1,860,818,1
80011.0,0,1,3,2,8,6,5,4,0,0,40,0,1,0,0,0,0,0,1,0,0,1293,1191,0
20559.0,1,0,88,2,2,0,3,8,0,0,35,0,1,0,0,0,0,0,0,1,0,46,39,0
21994.0,0,1,4,1,0,0,3,5,0,0,63,0,0,0,1,0,0,0,1,0,0,19,16,0
7500.0,1,0,19,3,2,0,3,5,0,0,45,0,1,0,0,0,0,0,0,1,0,19,7,0
79941.0,0,0,72,1,2,4,9,1,0,0,44,0,0,1,0,0,0,0,1,0,0,810,636,0
7500.0,0,0,24,3,3,1,3,9,0,1,24,0,1,0,0,0,1,0,0,0,0,72,22,0
41728.0,1,0,92,1,2,0,2,10,0,0,52,0,0,0,1,0,0,0,1,0,0,42,29,0
72550.0,1,1,39,9,5,2,12,8,0,0,66,0,1,0,0,0,0,0,0,0,1,1281,1243,0
65486.0,0,1,29,1,4,2,10,2,0,0,63,0,0,0,0,1,0,0,1,0,0,493,479,0
79143.0,0,0,2,1,6,9,13,3,0,0,56,0,1,0,0,0,0,0,0,1,0,1661,1629,0
35790.0,1,0,54,2,2,0,3,7,0,0,43,0,0,1,0,0,0,0,1,0,0,69,66,0
82582.0,0,0,54,1,4,9,7,1,0,1,43,1,0,0,0,0,0,0,1,0,0,1376,1135,2
66373.0,1,1,57,7,4,2,10,3,0,0,42,0,1,0,0,0,0,0,1,0,0,497,388,0
82384.0,0,0,55,1,3,10,13,1,0,1,65,0,0,0,1,0,0,0,0,1,0,1767,1577,1
70287.0,0,0,30,1,5,5,10,3,0,1,54,1,0,0,0,0,0,0,1,0,0,1053,1013,0
27938.0,1,0,31,1,1,0,4,3,0,0,32,0,0,1,0,0,0,0,1,0,0,24,19,0
55954.0,0,1,63,3,8,2,6,7,0,0,52,0,1,0,0,0,0,0,0,0,1,475,432,0
75777.0,0,0,12,1,3,6,11,1,0,1,38,0,0,1,0,0,0,0,0,1,0,1358,1278,2
66653.0,1,1,18,4,4,2,12,3,0,0,45,0,0,0,1,0,0,0,1,0,0,606,600,0
61823.0,0,1,26,4,8,2,10,7,0,0,68,0,0,1,0,0,0,0,1,0,0,715,546,0
67680.0,0,1,8,1,7,3,8,5,0,0,69,0,0,0,0,1,0,0,0,0,1,600,594,0
70666.0,0,0,29,1,7,4,4,4,0,0,72,0,0,0,1,0,0,0,1,0,0,1046,1016,0
25721.0,1,0,75,1,1,1,2,7,0,1,49,0,1,0,0,0,0,0,1,0,0,19,4,0
32474.0,1,1,0,1,1,0,2,7,0,0,53,0,0,0,1,0,0,0,1,0,0,11,11,0
88194.0,0,1,19,1,11,10,10,5,0,1,41,0,0,1,0,0,1,0,0,0,0,1236,1198,2
69096.0,0,1,4,1,5,2,10,4,0,0,62,0,0,0,1,0,0,0,1,0,0,544,435,0
74854.0,1,2,90,7,2,5,5,5,0,0,50,0,0,0,1,0,0,0,1,0,0,1489,1416,0
66991.0,0,0,1,3,4,8,6,3,0,0,66,0,1,0,0,0,0,0,0,1,0,1241,1229,0
65031.0,0,1,29,4,10,3,13,7,0,0,61,0,1,0,0,0,0,0,1,0,0,777,691,0
60631.0,1,1,88,5,9,2,8,7,0,0,45,0,1,0,0,0,0,0,0,0,1,642,623,1
28332.0,0,0,58,1,2,1,4,2,0,0,68,0,1,0,0,0,0,0,1,0,0,56,47,0
40246.0,1,0,68,1,1,0,2,6,0,0,43,1,0,0,0,0,0,0,1,0,0,12,11,0
75251.0,0,0,34,1,7,6,5,5,0,1,48,0,1,0,0,0,0,0,0,1,0,1872,1854,0
75825.0,0,0,40,0,5,8,9,4,0,1,44,0,0,1,0,0,0,0,1,0,0,2158,2107,1
26326.0,0,0,12,1,0,0,3,3,1,0,44,0,0,0,1,0,1,0,0,0,0,9,0,0
56046.0,0,0,9,2,10,1,8,8,0,1,55,0,0,0,1,0,0,0,1,0,0,641,590,1
29760.0,1,0,87,4,3,1,4,8,0,0,35,0,0,1,0,0,0,0,1,0,0,148,131,0
26304.0,1,0,5,1,1,0,2,7,0,0,51,0,1,0,0,0,0,0,1,0,0,12,8,0
23559.0,1,0,87,3,3,0,3,7,0,0,47,0,1,0,0,0,1,0,0,0,0,56,33,0
38620.0,0,0,56,1,2,5,3,3,0,0,57,0,0,0,1,0,0,0,0,1,0,229,140,0
81361.0,0,0,18,1,3,10,13,1,0,0,33,1,0,0,0,0,0,0,1,0,0,702,626,0
29440.0,1,1,95,2,1,0,4,7,0,0,60,0,1,0,0,0,0,0,1,0,0,53,50,0
36138.0,1,1,48,5,3,1,4,7,0,0,50,0,1,0,0,0,0,0,0,1,0,146,141,1
50388.0,0,1,3,4,6,1,6,7,0,1,63,0,0,1,0,0,0,0,1,0,0,338,304,2
79593.0,0,0,70,1,5,6,7,2,0,0,47,0,1,0,0,0,0,0,1,0,0,1221,1076,1
54178.0,0,1,79,1,2,2,5,2,0,0,53,0,0,0,1,0,0,0,1,0,0,187,180,0
42394.0,1,0,69,1,1,0,3,7,0,0,48,0,0,1,0,0,0,0,0,1,0,28,24,0
23626.0,1,0,84,3,3,1,3,5,0,0,50,0,1,0,0,0,0,0,0,0,1,43,43,0
30096.0,1,0,30,1,2,0,3,6,0,0,37,0,1,0,0,0,0,0,1,0,0,36,27,0
47916.0,0,1,72,5,7,4,6,6,0,0,60,0,0,0,0,1,0,0,1,0,0,531,456,1
51813.0,1,1,37,2,2,0,3,7,0,0,48,1,0,0,0,0,0,0,1,0,0,61,59,0
78497.0,0,0,44,1,5,7,12,2,0,0,69,0,1,0,0,0,1,0,0,0,0,755,532,1
50150.0,0,0,32,2,5,2,7,5,0,0,37,0,1,0,0,0,0,0,0,0,1,399,388,0
47823.0,0,1,0,2,2,0,3,8,0,0,60,0,0,1,0,0,1,0,0,0,0,62,52,0
34554.0,0,1,43,2,2,0,3,6,0,0,61,0,0,1,0,0,0,0,0,0,1,50,45,0
85693.0,0,1,59,2,9,5,11,5,0,0,41,0,0,0,1,0,0,0,1,0,0,1058,947,0
65846.0,0,0,68,1,6,3,6,4,0,0,75,0,1,0,0,0,0,0,0,0,1,1039,958,0
87195.0,0,0,35,1,3,11,5,1,0,1,61,0,1,0,0,0,0,0,1,0,0,1059,1021,0
24594.0,1,0,94,1,1,0,3,5,0,0,41,0,0,0,1,0,0,1,0,0,0,20,11,0
49096.0,1,1,15,4,4,1,4,7,0,0,56,0,1,0,0,0,0,0,1,0,0,180,173,0
52413.0,0,2,56,4,6,4,12,6,0,0,51,0,1,0,0,0,0,0,1,0,0,845,780,0
38557.0,1,0,17,2,3,1,3,7,0,0,42,0,0,1,0,0,0,0,1,0,0,118,91,0
89058.0,0,0,18,1,5,4,4,2,0,0,60,0,1,0,0,0,0,0,0,1,0,807,764,0
77298.0,0,1,46,1,6,6,11,3,0,0,41,0,0,0,1,0,0,0,1,0,0,890,811,0
68126.0,0,0,40,1,7,4,5,9,0,1,29,0,0,1,0,0,0,0,0,0,1,1734,1648,1
57288.0,0,1,27,3,8,1,8,6,0,0,57,0,0,0,1,0,0,0,0,1,0,548,488,1
86037.0,0,0,95,1,6,7,11,3,0,1,29,0,0,1,0,0,0,0,1,0,0,708,686,2
43974.0,1,0,19,5,6,4,6,7,0,0,40,0,1,0,0,0,0,0,0,0,1,479,407,0
50785.0,1,1,27,2,2,1,3,6,0,0,58,0,0,1,0,0,0,0,1,0,0,87,60,0
90765.0,0,0,25,0,4,6,5,1,0,0,50,0,1,0,0,0,0,0,1,0,0,1691,1658,2
36550.0,1,0,74,5,9,1,5,9,0,0,42,0,1,0,0,0,1,0,0,0,0,457,337,0
30753.0,1,1,85,2,1,1,3,5,0,0,53,0,0,0,1,0,1,0,0,0,0,51,21,0
21918.0,1,0,37,2,2,0,3,6,0,0,51,0,0,0,1,0,0,0,1,0,0,30,27,0
56129.0,0,1,65,4,6,2,10,4,0,0,67,0,0,0,1,0,0,0,0,1,0,612,564,0
32557.0,1,0,13,3,2,1,3,5,0,1,53,0,0,1,0,0,0,0,0,1,0,70,60,0
19510.0,2,0,63,2,1,0,3,7,0,0,35,0,1,0,0,0,0,0,0,1,0,23,16,0
30992.0,1,0,83,1,1,0,3,7,0,0,44,1,0,0,0,0,0,0,1,0,0,41,39,0
101970.0,0,0,69,0,6,8,13,2,0,1,37,0,0,1,0,0,0,0,1,0,0,967,799,3
71488.0,0,0,87,2,3,4,7,1,0,0,55,0,0,0,1,0,1,0,0,0,0,387,215,0
79607.0,0,0,37,1,3,6,6,1,0,1,36,0,0,1,0,0,0,0,1,0,0,1707,1491,0
54348.0,1,1,51,2,2,0,4,6,0,0,67,0,1,0,0,0,0,0,0,1,0,86,82,0
77376.0,1,1,72,4,6,3,10,4,0,0,64,0,0,0,1,0,0,0,0,0,1,649,637,0
62998.0,0,1,10,5,5,4,5,5,0,0,68,0,1,0,0,0,0,0,1,0,0,405,347,0
61331.0,1,1,42,5,11,1,6,8,0,0,62,0,0,1,0,0,0,0,0,1,0,591,550,0
73448.0,0,0,10,1,7,2,9,4,0,0,51,0,1,0,0,0,0,0,1,0,0,595,465,0
41551.0,1,1,51,5,5,1,5,8,0,0,56,0,1,0,0,0,0,0,0,0,1,256,233,0
62981.0,0,0,21,1,4,5,13,3,0,0,53,0,0,0,1,0,0,0,0,0,1,1482,1482,1
9548.0,1,0,31,2,1,0,3,8,0,0,44,1,0,0,0,0,0,1,0,0,0,20,11,0
33762.0,2,1,61,3,2,2,2,8,0,0,61,0,1,0,0,0,0,0,0,0,1,90,74,0
35860.0,1,1,37,2,1,1,2,5,0,1,47,0,0,1,0,0,0,0,0,0,1,29,9,1
36921.0,1,1,74,2,2,0,3,7,0,0,55,1,0,0,0,0,0,0,0,0,1,34,30,0
92859.0,0,0,46,1,5,4,12,2,0,0,28,0,0,1,0,0,0,0,0,1,0,2057,2037,0
65104.0,0,1,4,2,3,5,7,7,0,1,44,0,0,0,1,0,0,0,0,1,0,1003,953,0
86111.0,0,0,73,1,5,7,10,2,0,0,58,0,1,0,0,0,0,0,1,0,0,1259,1133,0
68352.0,0,1,47,3,8,5,9,6,0,0,46,0,0,1,0,0,0,0,0,0,1,838,805,0
41883.0,1,0,13,3,4,2,3,7,0,0,32,0,0,0,1,0,0,0,1,0,0,196,80,0
59809.0,0,2,36,3,3,3,6,8,0,0,44,0,1,0,0,0,0,0,1,0,0,828,779,0
23957.0,1,0,47,1,2,0,3,6,0,1,45,0,1,0,0,0,0,0,1,0,0,52,36,0
38547.0,1,0,49,1,1,0,2,8,1,0,39,0,0,0,1,0,0,0,1,0,0,18,14,0
35688.0,2,1,94,7,4,1,4,8,0,0,47,0,1,0,0,0,1,0,0,0,0,179,147,0
49605.0,0,0,65,1,2,1,4,3,0,0,54,0,1,0,0,0,0,0,0,1,0,119,111,0
59354.0,0,2,59,1,4,4,7,3,0,0,67,0,1,0,0,0,0,0,0,1,0,446,433,0
65747.0,0,1,96,4,8,1,6,6,0,0,51,0,1,0,0,0,0,0,1,0,0,447,434,1
46344.0,0,1,28,4,7,1,5,7,0,0,48,0,0,0,1,0,1,0,0,0,0,338,247,0
34176.0,1,0,12,4,3,0,4,6,0,0,32,0,0,1,0,0,0,0,1,0,0,69,49,0
61010.0,0,1,57,2,8,5,11,5,0,0,68,0,0,0,1,0,0,0,0,0,1,945,869,0
69372.0,0,0,10,1,10,4,6,4,0,1,71,0,0,0,1,0,0,0,1,0,0,1339,1297,2
49967.0,0,1,4,3,6,1,5,7,0,0,62,0,0,1,0,0,0,0,1,0,0,303,300,0
60199.0,1,2,49,1,0,0,3,4,0,0,42,0,0,1,0,0,0,0,1,0,0,18,18,0
55375.0,0,1,3,1,1,1,6,2,0,0,43,0,0,0,1,0,0,0,1,0,0,148,134,0
80317.0,0,0,64,1,3,4,10,1,0,0,65,0,0,1,0,0,0,0,1,0,0,1174,1117,0
30523.0,2,1,0,1,1,0,2,7,0,0,62,0,0,1,0,0,0,0,0,1,0,8,3,0
70356.0,0,0,20,2,10,6,9,6,0,0,75,0,1,0,0,0,0,0,0,0,1,1673,1640,0
23228.0,1,0,91,4,3,0,4,8,0,0,36,0,1,0,0,0,0,0,1,0,0,116,111,0
74165.0,0,0,9,1,5,4,10,2,0,0,45,1,0,0,0,0,0,0,0,0,1,1281,1269,0
43482.0,2,1,83,3,2,0,4,6,0,0,54,0,0,0,1,0,0,0,1,0,0,60,32,0
62551.0,0,0,27,1,6,7,4,3,0,0,67,1,0,0,0,0,0,0,1,0,0,394,367,1
52332.0,0,0,63,1,3,2,6,4,0,0,61,1,0,0,0,0,0,0,1,0,0,257,255,1
66951.0,0,0,46,1,3,4,7,1,0,0,32,0,0,1,0,0,0,0,1,0,0,993,869,0
26091.0,1,1,84,3,2,1,3,5,0,0,63,0,0,0,1,0,0,0,1,0,0,69,49,0
33456.0,1,1,58,2,1,0,3,7,0,0,55,0,0,0,1,0,0,0,1,0,0,29,22,0
28718.0,1,0,78,2,2,0,3,8,0,0,38,0,1,0,0,0,0,0,1,0,0,41,25,0
50447.0,2,0,4,1,3,1,3,6,0,0,50,0,1,0,0,0,0,0,1,0,0,121,94,0
53537.0,1,1,17,2,2,1,3,5,0,0,61,0,0,0,1,0,0,0,0,0,1,87,81,0
52074.0,0,1,77,1,2,2,2,4,0,0,53,0,0,1,0,0,0,0,1,0,0,71,23,1
80427.0,0,1,56,1,11,8,8,5,0,0,45,0,1,0,0,0,0,0,0,0,1,1809,1783,0
83837.0,0,0,79,1,9,10,5,4,0,1,72,0,1,0,0,0,0,0,0,0,1,1207,1096,2
38853.0,1,1,90,2,2,0,3,7,0,0,50,0,1,0,0,0,0,0,0,0,1,43,41,0
38285.0,2,1,96,1,0,0,3,2,0,0,61,0,0,0,1,0,0,0,1,0,0,9,8,0
78497.0,0,0,44,1,5,7,12,2,0,0,69,0,1,0,0,0,1,0,0,0,0,755,532,1
51650.0,0,1,81,1,4,1,4,5,0,0,44,0,1,0,0,0,0,0,0,0,1,184,177,0
16248.0,1,0,77,3,2,1,3,6,0,0,32,0,1,0,0,0,1,0,0,0,0,48,39,0
66835.0,0,0,21,1,6,4,13,2,0,0,74,0,1,0,0,0,0,0,0,1,0,892,751,0
30477.0,1,0,16,1,1,1,3,6,0,0,36,0,1,0,0,0,0,0,0,1,0,54,42,0
28249.0,0,0,80,1,2,0,3,6,0,0,59,0,1,0,0,0,0,1,0,0,0,33,23,0
25271.0,1,0,45,1,1,1,2,9,0,0,37,0,1,0,0,0,0,0,1,0,0,43,36,0
32303.0,0,1,63,2,1,0,4,5,0,0,50,0,0,1,0,0,0,0,0,0,1,37,35,0
61286.0,0,1,34,2,7,1,8,5,0,0,54,0,1,0,0,0,0,0,1,0,0,491,374,0
74068.0,0,0,14,1,4,10,9,2,0,0,44,0,1,0,0,0,0,0,1,0,0,1566,1551,0
45759.0,1,1,13,2,2,0,3,7,0,0,56,0,1,0,0,0,0,0,0,0,1,64,60,0
24882.0,1,0,52,1,1,1,2,6,0,0,42,0,0,0,1,0,0,1,0,0,0,44,8,1
66973.0,0,0,98,1,8,7,12,3,0,0,31,0,0,0,1,0,0,0,0,0,1,1180,1078,0
38872.0,1,0,93,2,3,0,3,8,0,0,32,0,1,0,0,0,0,0,1,0,0,69,47,0
51148.0,1,1,38,4,5,1,6,6,0,0,47,0,1,0,0,0,0,0,1,0,0,303,291,0
31353.0,1,1,24,2,1,1,2,8,0,0,43,0,1,0,0,0,0,0,1,0,0,24,17,0
69661.0,0,0,80,1,7,3,12,3,0,0,40,0,1,0,0,0,0,0,0,1,0,826,818,0
80067.0,0,0,82,1,4,6,6,2,0,0,66,0,1,0,0,0,0,0,1,0,0,1549,1498,1
86718.0,0,0,20,1,5,6,5,2,0,0,66,0,1,0,0,0,0,0,1,0,0,1098,926,0
46854.0,1,1,81,6,5,1,3,8,0,1,47,0,0,1,0,0,0,0,0,0,1,184,105,1
69142.0,0,1,50,3,8,1,7,5,0,0,68,1,0,0,0,0,0,0,1,0,0,496,457,1
75922.0,0,0,60,1,4,4,9,1,0,0,52,0,0,1,0,0,0,0,1,0,0,1203,1111,0
63693.0,0,1,63,3,11,6,9,6,0,0,42,1,0,0,0,0,0,0,1,0,0,1096,1042,0
102160.0,0,0,54,0,7,9,10,4,0,1,43,0,0,0,1,0,0,0,0,0,1,1182,1124,3
40637.0,1,1,72,2,1,0,3,7,0,0,55,0,0,1,0,0,0,0,0,0,1,35,32,0
18890.0,0,0,5,1,0,1,2,6,0,1,36,0,0,1,0,0,0,0,0,1,0,20,5,1
29604.0,1,0,88,1,1,0,3,9,0,0,32,0,0,0,1,0,0,0,1,0,0,39,25,1
48721.0,1,1,50,6,4,2,5,6,0,0,57,1,0,0,0,0,0,0,0,1,0,272,251,0
44794.0,0,1,99,1,2,0,3,6,0,0,54,0,1,0,0,0,0,0,1,0,0,61,57,0
64497.0,0,1,17,5,11,4,9,8,0,1,66,1,0,0,0,0,0,0,1,0,0,1612,1420,1
46097.0,0,1,11,5,3,1,6,4,0,0,64,0,0,0,1,0,0,0,1,0,0,233,225,0
77972.0,0,0,18,1,4,6,9,1,0,0,66,0,0,0,1,0,0,0,1,0,0,1089,1077,0
44377.0,1,1,70,8,5,1,5,8,0,0,52,0,1,0,0,0,0,0,0,0,1,254,244,0
46014.0,1,1,21,10,7,1,8,7,0,0,46,0,0,0,1,0,0,0,0,1,0,497,453,0
70951.0,0,0,66,1,3,4,9,1,0,0,35,0,1,0,0,0,0,0,1,0,0,1144,1090,0
41443.0,1,0,79,6,8,1,5,8,0,0,43,0,1,0,0,0,0,0,1,0,0,393,304,0
52195.0,2,1,2,1,1,0,2,8,0,0,42,0,0,1,0,0,1,0,0,0,0,16,15,0
83790.0,0,0,81,1,8,10,6,3,0,0,72,0,1,0,0,0,0,0,0,1,0,1599,1583,2
44551.0,0,1,24,2,4,1,5,7,0,0,66,0,0,0,0,1,0,0,0,1,0,219,153,0
69508.0,1,0,48,2,11,4,11,6,0,0,40,0,0,0,1,0,0,0,1,0,0,1092,1049,0
45204.0,1,0,93,1,1,1,4,3,0,0,32,0,0,0,1,0,1,0,0,0,0,96,78,0
72460.0,0,0,56,1,3,5,7,1,0,0,51,0,1,0,0,0,0,0,1,0,0,1037,1027,0
77622.0,0,2,3,2,6,3,11,3,0,0,50,0,0,0,1,0,0,0,0,0,1,700,686,0
30732.0,1,0,44,4,4,1,4,8,0,0,40,0,1,0,0,0,0,0,0,0,1,182,179,0
63887.0,0,1,38,5,9,6,12,6,0,0,58,1,0,0,0,0,0,0,1,0,0,1153,1061,0
42011.0,1,0,46,4,3,1,4,8,0,0,42,0,0,0,1,0,0,0,1,0,0,150,111,0
51369.0,0,1,84,2,8,2,4,8,0,0,44,0,0,0,1,0,0,0,1,0,0,394,212,0
51537.0,0,1,27,3,2,2,11,8,0,0,68,1,0,0,0,0,0,0,1,0,0,1011,919,0
79930.0,0,0,72,1,3,5,8,2,0,0,48,0,1,0,0,0,0,0,0,0,1,1736,1719,0
34320.0,1,0,66,1,1,0,2,8,0,0,34,0,0,0,1,0,0,0,0,0,1,17,17,0
37070.0,1,1,30,9,5,1,8,7,0,1,54,0,0,1,0,0,0,0,1,0,0,394,355,0
81975.0,0,1,2,1,6,3,4,7,0,0,58,1,0,0,0,0,1,0,0,0,0,1561,1534,1
38590.0,1,0,65,1,1,0,2,8,0,0,49,0,0,0,1,0,0,0,1,0,0,19,16,0
15033.0,0,0,37,1,1,0,3,3,0,0,69,0,0,1,0,0,0,0,1,0,0,15,11,0
62745.0,0,1,89,3,7,8,11,5,0,0,55,0,1,0,0,0,0,0,0,0,1,1085,1053,0
22212.0,1,0,49,2,2,0,4,6,0,0,45,0,1,0,0,0,1,0,0,0,0,48,27,0
23661.0,1,0,46,1,1,0,3,7,0,0,38,0,0,0,1,0,0,0,0,1,0,22,21,0
79761.0,0,1,32,1,5,2,11,3,0,0,62,0,0,1,0,0,0,0,0,0,1,594,583,0
7500.0,1,0,54,4,3,1,3,7,0,0,47,0,0,1,0,0,0,0,1,0,0,37,17,0
73455.0,0,0,98,1,6,5,10,3,0,0,52,0,0,0,0,1,0,0,1,0,0,2068,2048,1
64961.0,0,1,97,2,6,4,4,3,0,0,62,0,0,0,1,0,0,0,1,0,0,971,933,0
22804.0,1,0,75,1,2,0,2,9,0,0,49,0,0,1,0,0,0,0,1,0,0,25,24,0
73687.0,0,0,8,1,3,9,9,2,0,1,30,0,1,0,0,0,0,0,1,0,0,1446,1265,1
61074.0,0,1,37,7,11,5,8,7,0,0,62,0,1,0,0,0,0,0,1,0,0,950,798,0
31686.0,1,1,31,2,1,0,3,6,0,0,56,0,1,0,0,0,0,0,0,0,1,16,15,0
80134.0,1,0,40,2,5,3,6,6,0,1,48,0,1,0,0,0,0,0,1,0,0,1610,1530,3
75027.0,0,1,74,2,9,4,6,5,0,0,67,0,1,0,0,0,0,0,1,0,0,1313,1236,0
67546.0,0,0,90,1,4,10,5,3,0,0,32,0,1,0,0,0,0,0,0,0,1,1954,1782,0
65176.0,0,1,57,4,9,6,6,6,0,0,51,0,0,0,1,0,0,0,0,1,0,1461,1391,0
31160.0,1,0,59,2,2,0,3,8,0,0,45,0,0,1,0,0,0,0,0,1,0,51,38,0
29938.0,1,0,52,2,1,0,3,6,0,0,35,0,0,1,0,0,0,0,1,0,0,15,4,0
102692.0,0,0,5,1,6,9,13,2,0,1,46,1,0,0,0,0,0,0,1,0,0,964,816,4
26490.0,0,0,92,2,3,1,5,6,0,0,62,0,0,0,1,0,1,0,0,0,0,185,160,0
75702.0,1,1,77,5,4,6,11,8,0,0,53,0,0,0,1,0,0,0,1,0,0,1118,1088,0
30899.0,1,0,35,2,1,0,3,6,0,0,46,0,0,1,0,0,0,0,0,0,1,32,31,0
63342.0,0,1,48,3,8,3,5,6,0,0,59,0,0,0,1,0,0,0,0,0,1,1080,1059,1
45989.0,0,1,97,4,3,2,7,3,0,0,56,0,0,1,0,0,0,0,1,0,0,310,298,0
18701.0,1,1,95,4,2,0,4,5,0,0,56,0,0,1,0,0,0,0,1,0,0,34,24,0
40737.0,2,1,24,1,1,0,2,8,0,0,63,0,0,1,0,0,0,0,0,0,1,15,13,0
15287.0,1,0,60,2,1,1,2,7,0,1,41,1,0,0,0,0,0,0,1,0,0,18,5,1
69674.0,0,2,46,3,10,2,10,5,0,0,52,1,0,0,0,0,0,0,0,0,1,821,797,0
44159.0,1,0,85,4,4,1,6,5,0,0,50,0,1,0,0,0,0,0,0,1,0,268,261,0
37717.0,1,0,31,1,1,0,2,9,0,0,42,0,1,0,0,0,0,0,0,0,1,20,15,0
43776.0,1,1,9,6,5,2,4,8,0,1,68,0,0,0,1,0,0,0,0,1,0,255,235,0
38179.0,1,1,30,4,3,1,3,7,0,0,54,0,1,0,0,0,0,0,0,1,0,70,50,0
80124.0,0,0,47,1,3,7,8,1,0,0,57,0,1,0,0,0,0,0,1,0,0,1254,1013,1
38097.0,1,1,70,4,3,2,2,7,0,1,50,0,1,0,0,0,0,0,0,0,1,115,46,1
72940.0,0,0,13,1,3,3,6,1,0,0,50,0,1,0,0,0,0,0,1,0,0,865,749,0
